"vernacular_fr";"name";"rank";"tsn"
"caloptérygides";"Calopterygidae";"famille";"102043"
"caloptéryx à taches apicales";"Calopteryx aequabilis";"espèce";"102056"
"caloptéryx élancé";"Calopteryx amata";"espèce";"102057"
"caloptéryx bistré";"Calopteryx maculata";"espèce";"102055"
"courtisane d'amérique";"Hetaerina americana";"espèce";"102050"
"lestides";"Lestidae";"famille";"102058"
"leste tardif";"Lestes congener";"espèce";"102062"
"leste disjoint";"Lestes disjunctus";"espèce";"102063"
"leste dryade";"Lestes dryas";"espèce";"102066"
"leste flamboyant";"Lestes eurinus";"espèce";"102073"
"leste à forceps";"Lestes forcipatus";"espèce";"102067"
"leste inégal";"Lestes inaequalis";"espèce";"102069"
"leste élancé";"Lestes rectangularis";"espèce";"102071"
"leste onguiculé";"Lestes unguiculatus";"espèce";"102068"
"leste matinal";"Lestes vigilax";"espèce";"102072"
"agrionides";"Coenagrionidae";"famille";"102077"
"agrion rougeâtre";"Amphiagrion saucium";"espèce";"102095"
"argie violacée";"Argia fumipennis";"espèce";"102143"
"argie svelte";"Argia moesta";"espèce";"102146"
"agrion à tache jaune";"Chromagrion conditum";"espèce";"102134"
"agrion ponctué";"Coenagrion interrogatum";"espèce";"102158"
"agrion résolu";"Coenagrion resolutum";"espèce";"102156"
"agrion d'anna";"Enallagma anna";"espèce";"592485"
"agrion porte-coupes d'amérique";"Enallagma annexum";"espèce";"722162"
"agrion arc-en-ciel";"Enallagma antennatum";"espèce";"102103"
"agrion saupoudré";"Enallagma aspersum";"espèce";"102126"
"agrion boréal";"Enallagma boreale";"espèce";"102121"
"agrion des scirpes";"Enallagma carunculatum";"espèce";"102123"
"agrion civil";"Enallagma civile";"espèce";"102122"
"agrion halophile";"Enallagma clausum";"espèce";"102132"
"agrion enivré";"Enallagma ebrium";"espèce";"102128"
"agrion exilé";"Enallagma exsulans";"espèce";"102112"
"agrion minuscule";"Enallagma geminatum";"espèce";"102113"
"agrion de hagen";"Enallagma hageni";"espèce";"102129"
"agrion orangé";"Enallagma signatum";"espèce";"102115"
"agrion dévoyé";"Enallagma traviatum";"espèce";"102116"
"agrion printanier";"Enallagma vernale";"espèce";"102131"
"agrion vespéral";"Enallagma vesperum";"espèce";"102119"
"agrion hasté";"Ischnura hastata";"espèce";"206632"
"agrion posé";"Ischnura posita";"espèce";"102082"
"agrion vertical";"Ischnura verticalis";"espèce";"102079"
"déesse gracieuse";"Nehalennia gracilis";"espèce";"102138"
"déesse paisible";"Nehalennia irene";"espèce";"102137"
"aeschnides";"Aeshnidae";"famille";"101596"
"aeschne du canada";"Aeshna canadensis";"espèce";"185977"
"aeschne clepsydre";"Aeshna clepsydra";"espèce";"592654"
"aeschne constrictor";"Aeshna constricta";"espèce";"101609"
"aeschne porte-crosses";"Aeshna eremita";"espèce";"185978"
"aeschne domino";"Aeshna interrupta";"espèce";"185979"
"aeschne des joncs";"Aeshna juncea";"espèce";"185981"
"aeschne septentrionale";"Aeshna septentrionalis";"espèce";"185982"
"aeschne à zigzags";"Aeshna sitchensis";"espèce";"185983"
"aeschne subarctique";"Aeshna subarctica";"espèce";"185984"
"aeschne à tubercules";"Aeshna tuberculifera";"espèce";"185980"
"aeschne des pénombres";"Aeshna umbrosa";"espèce";"101605"
"aeschne verticale";"Aeshna verticalis";"espèce";"101607"
"anax précoce";"Anax junius";"espèce";"101598"
"anax ardent";"Anax longipes";"espèce";"101599"
"aeschne printanière";"Basiaeschna janata";"espèce";"101649"
"aeschne fuligineuse";"Boyeria grafiana";"espèce";"101646"
"aeschne vineuse";"Boyeria vinosa";"espèce";"101647"
"aeschne majestueuse";"Epiaeschna heros";"espèce";"101638"
"aeschne pygmée";"Gomphaeschna furcillata";"espèce";"101635"
"aeschne cyrano";"Nasiaeschna pentacantha";"espèce";"101654"
"aeschne des nénuphars";"Rhionaeschna mutata";"espèce";"722026"
"gomphides";"Gomphidae";"famille";"101664"
